#OTU ID	MM933M	MM936M	MM941M	MM943M	MM9362CU	MMS700	MMS701	MMS702	MMS703	MMS704	MMS705	MMS706	MMS707	MMS708	MMS709	MMS710	MMS711	MMS712	MMS713	MMS714	MMS715	MMS716	MMS717	MMS890	MMS891	MMS900	MMS901	MMS902	MMS903	MMS904	MMS905	MMS906	MMS907	MMS908	MMS909	MMS910	MMS911	MMS912	MMS913	MMS914	MMS915	MMS916	MMS917	MMS918	MMS919	MMS920	MMS921	MMS922	MMS923	MMS924	MMS925	MMS928	MMS929	MMS930	MMS931	MMS932	MMS938	MMS939	MMS942	MMS943	MMS944	taxonomy
denovo538	5.2934	6.2704	4.4015	5.3132	3.1321	2.5041	1.8745	0.0	0.0	2.7472	3.2773	1.8309	3.0301	0.0	5.6861	3.9782	4.4444	2.2338	2.8658	4.0343	3.0301	4.2169	3.1197	4.7311	4.3517	0.0	2.5553	4.2219	4.5157	3.7004	2.9491	3.4994	3.5408	5.2609	3.7605	3.4018	0.0	3.0121	3.9418	3.8324	0.0	4.0426	2.585	2.7829	3.7887	4.3124	4.1612	3.5983	3.5502	3.6819	3.6898	3.3956	4.1852	4.7535	0.0	4.6328	2.4985	6.0977	0.0	0.0	5.1298	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__NES27
denovo1813859	4.3297	11.241	2.947	4.0447	3.1321	6.8221	2.663	2.7902	2.579	0.0	0.0	2.6124	7.4935	3.8776	8.7935	3.067	1.9882	3.0717	2.0513	4.3385	6.253	2.4326	5.5593	2.8855	2.5495	2.9512	6.4726	7.8212	6.3061	2.3219	6.5716	3.4994	4.8762	6.7666	0.0	0.0	0.0	2.1806	1.9537	0.0	3.7219	2.0342	0.0	8.1761	2.3988	2.2551	2.6011	1.9175	3.0255	0.0	2.3127	3.3956	4.8901	3.806	4.6056	0.0	2.4985	3.7301	0.0	2.9097	3.8684	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__MH3_B
denovo1031897	7.3241	3.3956	0.0	0.0	8.768	7.8157	8.2652	8.2421	7.1827	7.4299	6.9897	8.325	7.435	7.6412	7.9519	8.5023	8.1441	5.9131	8.2276	6.5439	4.7054	8.9258	8.2336	9.2404	8.6579	7.1194	6.1146	6.9356	9.1383	9.1824	7.4157	9.1498	7.5618	8.9982	6.2539	7.0244	7.0112	8.4834	9.2933	7.6574	6.2128	7.6818	0.0	0.0	8.4745	6.9719	7.6941	7.9874	8.8509	8.0938	7.7765	7.8724	9.1651	9.8903	8.6077	9.2762	8.1055	8.0818	8.1031	7.072	8.2304	No blast hit
denovo34	0.0	0.0	0.0	0.0	0.0	0.0	2.663	2.7902	3.4529	9.7451	0.0	0.0	12.038	2.9726	0.0	2.2296	1.9882	7.3895	2.0513	2.2768	9.7622	10.72	2.2768	0.0	0.0	2.9512	2.5553	7.6415	2.858	2.3219	0.0	0.0	4.6906	3.217	0.0	6.8559	4.3923	0.0	1.9537	2.437	2.0175	4.6875	0.0	0.0	0.0	3.0954	3.6808	2.7127	3.5502	2.7902	3.1597	2.5265	1.9506	0.0	0.0	0.0	0.0	0.0	2.9726	4.922	2.964	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__NES27
denovo11952	0.0	0.0	0.0	0.0	1.5567	2.5041	0.0	0.0	0.0	0.0	4.7595	0.0	0.0	0.0	1.5567	0.0	0.0	4.7509	0.0	8.7796	3.0301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7279	0.0	0.0	4.5283	0.0	0.0	7.6147	0.0	0.0	0.0	1.4272	1.9175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__sp
denovo5905	3.7802	3.3956	5.1109	0.0	7.9631	2.5041	11.96	9.7564	0.0	6.3399	6.5947	0.0	2.1967	4.4295	1.5567	10.277	11.097	0.0	11.839	3.6483	2.1967	2.4326	0.0	2.8855	2.5495	2.1266	2.5553	1.6815	14.111	3.7004	2.9491	0.0	3.0165	0.0	3.2278	0.0	0.0	10.061	1.9537	9.4931	2.0175	2.8464	3.4594	8.9602	5.9267	0.0	6.1688	3.2224	3.0255	11.565	5.4806	2.5265	2.7507	2.4139	0.0	0.0	2.4985	2.8349	0.0	0.0	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Diversisporales; f__Acaulosporaceae; g__Acaulospora; s__Acau16
denovo212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8118	2.6124	0.0	0.0	0.0	0.0	0.0	4.2868	5.02	0.0	0.0	4.2169	3.1197	6.4992	0.0	2.1266	6.0093	1.6815	3.7549	2.3219	0.0	5.5666	0.0	0.0	3.7605	3.4018	0.0	6.2328	1.9537	0.0	0.0	0.0	0.0	0.0	4.9502	4.0085	4.521	0.0	4.7004	0.0	4.0766	4.3254	3.938	3.806	0.0	5.9751	3.3649	4.9853	6.7891	2.0899	5.7924	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__MO_G47
denovo215	0.0	0.0	0.0	0.0	0.0	0.0	7.9288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.6884	0.0	0.0	2.2768	0.0	0.0	5.6866	0.0	0.0	0.0	0.0	2.1248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6164	0.0	0.0	0.0	0.0	0.0	0.0	2.3127	0.0	1.9506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Paraglomerales; f__Paraglomeraceae; g__Paraglomus; s__laccatum
denovo214	2.8816	5.2889	4.4015	0.0	7.535	0.0	2.663	2.7902	3.4529	2.7472	2.419	1.8309	0.0	0.0	0.0	2.2296	0.0	6.6043	0.0	0.0	3.9389	1.9755	0.0	4.895	0.0	0.0	0.0	2.437	2.858	0.0	2.9491	2.6217	0.0	2.3644	4.7062	8.4913	0.0	3.0121	3.2661	3.2972	4.4817	0.0	4.0	0.0	2.3988	0.0	0.0	0.0	0.0	0.0	2.3127	2.5265	3.938	0.0	5.7938	5.8615	3.3649	2.8349	3.8776	2.9097	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__acnaGlo2
denovo218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.098	0.0	0.0	0.0	1.4272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__NES27
denovo122	0.0	3.3956	0.0	0.0	5.6861	6.0536	5.6147	4.2289	4.3855	5.141	2.419	4.8646	3.5549	5.8021	6.8525	5.6138	3.3077	3.9832	5.2756	4.3385	6.1106	4.2169	5.7773	6.9727	4.6595	3.4726	6.3047	6.5158	6.941	6.4757	6.2598	6.0877	5.9374	7.1921	4.9207	2.5322	4.3923	5.3172	6.2425	4.5283	2.0175	5.745	4.9542	4.4322	4.7356	5.1277	4.4108	6.0199	3.9341	2.7902	3.1597	4.3254	5.145	6.043	4.3544	6.5153	5.5702	6.3355	5.1394	5.0692	4.4201	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Archaeosporales; f__Archaeosporaceae; g__Archaeospora; s__MO_Ar1
denovo125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.7614	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__NES27
