	MMS930	MMS925	MMS911	MMS920	MM933M	MMS922	MMS910	MMS923	MMS715	MMS714	MMS717	MMS716	MMS711	MMS710	MMS713	MMS712	MMS944	MMS921	MMS942	MMS943	MMS908	MMS909	MMS928	MMS929	MMS900	MMS901	MMS902	MMS903	MMS904	MMS905	MMS906	MMS907	MMS919	MM943M	MM941M	MM936M	MMS706	MMS707	MMS704	MMS705	MMS702	MMS703	MMS700	MMS701	MMS708	MMS709	MMS917	MMS939	MMS938	MMS916	MMS931	MMS915	MMS932	MMS918	MMS914	MM9362CU	MMS913	MMS890	MMS891	MMS924	MMS912
MMS930	0.0	0.455376574604	0.465815821529	0.423262404022	0.520121026763	0.425126091317	0.4617151489	0.466667152848	0.486096337794	0.475233874907	0.358627117718	0.542876034769	0.456407876413	0.457224182555	0.49848780488	0.508826115031	0.322305065553	0.595129427015	0.375036044803	0.467937277588	0.374480797188	0.426801972491	0.380379991161	0.341015592382	0.464047015651	0.444346348696	0.451797598805	0.433189454284	0.401801619354	0.53294951053	0.405531586314	0.383198010465	0.417324594265	0.528055715789	0.54107416546	0.474530647783	0.447513482698	0.475533819641	0.411975635361	0.433467075075	0.454037853002	0.45828822076	0.455226649228	0.481200840702	0.43970382643	0.557406346748	0.576588221518	0.34062790809	0.346059255192	0.371024779314	0.346517901734	0.430866880366	0.339661159182	0.631557713206	0.449892566905	0.425271799438	0.404032192983	0.310240788812	0.383045671208	0.457687036051	0.421446298426
MMS925	0.455376574604	0.0	0.487887208113	0.410289864387	0.492292565235	0.406618436038	0.501624106535	0.432762359077	0.522984101189	0.468813506694	0.375944073636	0.57742415197	0.382284422574	0.459367671208	0.438215641146	0.562574063719	0.424946434855	0.543094398129	0.428653882516	0.498837144627	0.429682167315	0.488147885259	0.386553069782	0.432437766646	0.435671658984	0.461075412427	0.527542267512	0.467313934348	0.443463306375	0.559031624918	0.423880645996	0.398307061607	0.419208357833	0.520019279811	0.529508948978	0.489006130116	0.487238763752	0.521701338197	0.387915914739	0.445027698037	0.387415979432	0.497447073706	0.439532325173	0.387749822837	0.407127273833	0.567459399934	0.529497900728	0.404056062022	0.428865785803	0.409935305974	0.455300354521	0.475750220848	0.435013096144	0.546830397523	0.488968836819	0.49441128336	0.437335026538	0.428485337317	0.435855327139	0.360966813233	0.427370941731
MMS911	0.465815821529	0.487887208113	0.0	0.463235762947	0.542369103276	0.501721121952	0.365730827903	0.48039578615	0.411786457555	0.427377269067	0.423669165428	0.579981937181	0.502919735233	0.519258113675	0.524634123968	0.380385585873	0.430389805543	0.63798218522	0.447542015333	0.418293829259	0.479071494881	0.372268669373	0.463885962385	0.51531295912	0.502601732068	0.430316111243	0.436304426413	0.478429960432	0.46227022361	0.544830422309	0.488656945375	0.478267831302	0.439735286119	0.537713980878	0.525577851316	0.496310462636	0.498154880604	0.44614856089	0.456633297996	0.429901683331	0.489458203061	0.347810901081	0.492144635515	0.549628726032	0.486201390004	0.627926038753	0.462712231838	0.433224697882	0.395553203908	0.426178817474	0.450422794748	0.438408577524	0.465094057468	0.552466256831	0.493671513429	0.535352964436	0.460182884197	0.472177656036	0.456602913375	0.499629076096	0.486552804728
MMS920	0.423262404022	0.410289864387	0.463235762947	0.0	0.514622792765	0.421687165056	0.503686119332	0.389123191548	0.478793186272	0.431359125284	0.386506268307	0.541939028338	0.426904118291	0.43763603362	0.463522850417	0.546345514918	0.366850574206	0.490101382279	0.436371178131	0.4836616134	0.415054631702	0.491144872614	0.428071218184	0.470749160308	0.489740415995	0.469406543108	0.504265968146	0.494864115485	0.471497650674	0.571739142482	0.423315558066	0.426693310404	0.428761703987	0.479824568952	0.497939769699	0.47260330557	0.501342651091	0.517683775911	0.435045856426	0.424296076867	0.405056311962	0.484141670111	0.43579267962	0.471941489707	0.43931812361	0.547754332715	0.498410491472	0.365775719355	0.420040259742	0.392179448808	0.440493997298	0.462953839142	0.428887055895	0.56104824037	0.477396783252	0.519588414066	0.419419566068	0.428652386764	0.427167918646	0.413700298084	0.445287330101
MM933M	0.520121026763	0.492292565235	0.542369103276	0.514622792765	0.0	0.516647256917	0.53252834849	0.535034535634	0.532264959517	0.521328543341	0.501298843549	0.672186452008	0.532208287545	0.506463336014	0.554268893314	0.563563955146	0.47661784274	0.660402882395	0.458121978027	0.528366168248	0.524184788898	0.547103393463	0.50411392869	0.539099166502	0.513182985467	0.518122528596	0.592796880583	0.569914176566	0.530011787606	0.657097763347	0.515078779393	0.4859893707	0.509962973022	0.431833585436	0.488210071926	0.424549807845	0.562691984541	0.547865939049	0.464482066684	0.497969707223	0.468678923478	0.527089142311	0.524608345676	0.500446986378	0.453209922193	0.695267606339	0.562496807292	0.482809739955	0.491153654703	0.505631341014	0.464869048535	0.495186767213	0.480834291393	0.552942569863	0.556771091652	0.536237130064	0.545888886654	0.507334661384	0.496916008704	0.503717762604	0.527579272915
MMS922	0.425126091317	0.406618436038	0.501721121952	0.421687165056	0.516647256917	0.0	0.543178860359	0.408574698005	0.509694838599	0.459746523419	0.39608723082	0.59445437431	0.438622425719	0.412398645958	0.473267356128	0.5846463586	0.423700948016	0.506795144609	0.450621122123	0.50697378749	0.430164968031	0.512219035426	0.445523316514	0.457780677248	0.495129518863	0.485214237234	0.533276926675	0.494177937146	0.460214142394	0.553708190494	0.433523462448	0.415805285428	0.433401544811	0.531160297861	0.565213576372	0.512059440674	0.494140811632	0.541412693946	0.429286955538	0.473989882727	0.417901958475	0.513806386368	0.433567644725	0.43009959267	0.456252216288	0.515076079681	0.543963386028	0.42164796508	0.461031739903	0.408468568478	0.44926747564	0.488155413089	0.439900861893	0.56677758597	0.465043260047	0.493678931357	0.42472098272	0.440424926065	0.443260770259	0.420790619895	0.434019307599
MMS910	0.4617151489	0.501624106535	0.365730827903	0.503686119332	0.53252834849	0.543178860359	0.0	0.50846627024	0.435645827899	0.482423454496	0.454383551594	0.574888885	0.536587463759	0.540507802344	0.567244705049	0.353966205148	0.437745829458	0.67029986375	0.432272931403	0.413058498232	0.494594872931	0.339114726126	0.474157887066	0.492416501267	0.523697401784	0.449692300555	0.428074725285	0.468693723221	0.481815521577	0.574778575687	0.484661920846	0.491549133728	0.477504126819	0.542852640108	0.538033509556	0.489874830831	0.476794528683	0.453221476729	0.45427363374	0.44393687756	0.506075011304	0.302213352902	0.537262993447	0.572975173432	0.49797123543	0.662576063762	0.510818622135	0.441921460414	0.372755171403	0.457671076634	0.447456085925	0.44153155228	0.457232863925	0.587080566957	0.508488434443	0.545907633231	0.492121438492	0.474570751215	0.470642468241	0.51297531638	0.519039450794
MMS923	0.466667152848	0.432762359077	0.48039578615	0.389123191548	0.535034535634	0.408574698005	0.50846627024	0.0	0.487775022985	0.46711240279	0.418360695429	0.55712818972	0.438689985191	0.447109918118	0.500045216185	0.580143925484	0.411304613748	0.514766736535	0.440333677519	0.519441233005	0.451738214114	0.509434492503	0.451215364058	0.475242303072	0.448923877976	0.463109341888	0.514776350529	0.503378713209	0.470404860187	0.58870901152	0.423757030673	0.419997066977	0.41635227527	0.521900816348	0.55282020397	0.500254844158	0.513200319101	0.526309126597	0.458979008789	0.459313641287	0.404508923087	0.508487940845	0.426418754734	0.476205062933	0.432011399551	0.555198694225	0.522856354756	0.427720605697	0.454790838782	0.416635087037	0.468429590682	0.493727572301	0.449854376138	0.546541723701	0.526316243742	0.537215145861	0.456568036515	0.444947839268	0.466313275311	0.422471808113	0.487230082576
MMS715	0.486096337794	0.522984101189	0.411786457555	0.478793186272	0.532264959517	0.509694838599	0.435645827899	0.487775022985	0.0	0.455821152018	0.461057636461	0.563820119985	0.526464328239	0.484211379937	0.523441038789	0.475044767852	0.448449312236	0.635584864505	0.45206411532	0.494901197018	0.494903775585	0.453008644343	0.486595310211	0.533800917188	0.507891897144	0.378500940311	0.388493096418	0.498375996767	0.478702321673	0.566366735982	0.499109590751	0.474147202656	0.487425447771	0.516543621305	0.548029377498	0.484411130039	0.507575494467	0.40335557267	0.437072073018	0.435456534363	0.499984743672	0.449582271558	0.523096877947	0.563106621205	0.470847206157	0.668408919047	0.442147296236	0.469914615794	0.425941368383	0.448104704188	0.451735124052	0.425693380006	0.46431179757	0.559398946868	0.500348466732	0.5593971545	0.503892628087	0.493601103789	0.492714513874	0.507852713439	0.527215947188
MMS714	0.475233874907	0.468813506694	0.427377269067	0.431359125284	0.521328543341	0.459746523419	0.482423454496	0.46711240279	0.455821152018	0.0	0.407001984224	0.615296416901	0.474662705756	0.490177582161	0.481309245876	0.51916280758	0.434863798062	0.614179212319	0.461521246123	0.48850987828	0.463498616854	0.51307109841	0.458405540119	0.501302026627	0.510150585694	0.465540421796	0.493420409351	0.511826496412	0.500553785604	0.555095027982	0.477395448153	0.466485165634	0.478093973507	0.519829317204	0.534524827317	0.475640558582	0.506361058341	0.503487394852	0.441397270263	0.39386629143	0.483247965328	0.479368940406	0.493646805499	0.522899476179	0.455667103668	0.54553316688	0.399795242131	0.41095442465	0.443967175344	0.407723962961	0.479513867372	0.46039888574	0.440240463516	0.555015090565	0.466959800031	0.539293235422	0.455104947962	0.458782880982	0.457758301913	0.476392500332	0.48092424725
