	MMS930	MMS925	MMS911	MMS920	MM933M	MMS922	MMS910	MMS923	MMS715	MMS714	MMS717	MMS716	MMS711	MMS710	MMS713	MMS712	MMS944	MMS921	MMS942	MMS943	MMS908	MMS909	MMS928	MMS929	MMS900	MMS901	MMS902	MMS903	MMS904	MMS905	MMS906	MMS907	MMS919	MM943M	MM941M	MM936M	MMS706	MMS707	MMS704	MMS705	MMS702	MMS703	MMS700	MMS701	MMS708	MMS709	MMS917	MMS939	MMS938	MMS916	MMS931	MMS915	MMS932	MMS918	MMS914	MM9362CU	MMS913	MMS890	MMS891	MMS924	MMS912
MMS930	0.0	0.311834567944	0.3185580825	0.283242548617	0.400205583279	0.277886964895	0.310126668917	0.311507409287	0.345327289429	0.326626699735	0.2226443083	0.310185599671	0.308615992822	0.316535254811	0.343390902434	0.343163777631	0.199028478327	0.361162757339	0.259161302957	0.3206596696	0.233564767738	0.272932273561	0.24059076799	0.210500950863	0.318312633206	0.315167278265	0.289482693519	0.275070558681	0.255177118054	0.301548539685	0.257859175097	0.249306643691	0.28059841783	0.412410272671	0.418934182733	0.375096178602	0.294483536825	0.331501510132	0.305050945627	0.306128749982	0.318837175706	0.328297971999	0.300894504454	0.317699018651	0.339971156826	0.328366991391	0.450452943856	0.227225230167	0.234310222373	0.23230865469	0.20854487927	0.28352963004	0.205773854885	0.487313333463	0.297773080483	0.275312322632	0.251145287724	0.188974614827	0.240645391689	0.330373020508	0.281100001186
MMS925	0.311834567944	0.0	0.32432862239	0.25796512002	0.374974248509	0.24517724391	0.352057421202	0.260077668075	0.36776461692	0.308791870009	0.240865181123	0.322857465651	0.234795885884	0.295126022227	0.286577807736	0.381536838874	0.283416462328	0.295928733286	0.301669948544	0.328159831971	0.277028786726	0.328729977494	0.247646226653	0.277594909607	0.27702332665	0.320666228096	0.351516715893	0.310446511714	0.278310205132	0.306227604395	0.272419344166	0.238679012823	0.256253463604	0.411667021746	0.419169237549	0.389589367824	0.319279231225	0.346126744559	0.273202203917	0.29144910404	0.25937756545	0.359767692326	0.287946892026	0.241989077881	0.28982255842	0.322036945835	0.414187850177	0.274751432886	0.29612744463	0.247257272531	0.301972631096	0.316362688507	0.294463540894	0.404600039142	0.313039798309	0.337078165546	0.286941453767	0.275164613369	0.27450496642	0.238823685565	0.25608396245
MMS911	0.3185580825	0.32432862239	0.0	0.311601472508	0.409002184986	0.354002844943	0.222891500996	0.333447984938	0.263579388026	0.274998997374	0.286630599659	0.331547187228	0.34379250344	0.357900172646	0.360565909235	0.232177648841	0.299008715459	0.384212629926	0.311979862302	0.267346730261	0.335923697264	0.233522808144	0.316171957735	0.358638761301	0.336545761741	0.28266101719	0.290741244711	0.319792941626	0.304230350491	0.308607117236	0.335088459583	0.321053599525	0.290315266461	0.426048982392	0.406067242655	0.389041643877	0.336315921411	0.280579975313	0.316066052949	0.277906326617	0.34438542416	0.233022020791	0.329094454851	0.385395759849	0.353727072688	0.383511065599	0.342692480695	0.294798644046	0.264846033386	0.276869753865	0.30711027036	0.283671597452	0.306996078103	0.408071072625	0.324955210319	0.388928965149	0.319916611655	0.328660727635	0.306029254604	0.359707284076	0.333180774294
MMS920	0.283242548617	0.25796512002	0.311601472508	0.0	0.389177312252	0.272319018988	0.344288589058	0.237466179763	0.334778523805	0.280851854467	0.24770437209	0.304055954759	0.263410590739	0.277622065327	0.294487878745	0.363383953364	0.236458600397	0.261854402408	0.302322172307	0.321777864328	0.264135759537	0.324545037907	0.270498401911	0.314212404213	0.333972081232	0.326391210028	0.334586037869	0.3298228575	0.320020361572	0.31672395769	0.267298376509	0.266655537436	0.273493982398	0.373651715992	0.382022170023	0.381250655728	0.339034533783	0.348489601325	0.306711233359	0.278635291709	0.269274130517	0.347245138668	0.288601555677	0.307244622549	0.319422296917	0.306511488898	0.382182227589	0.241651935853	0.28702321812	0.23189595948	0.299518361588	0.301179418704	0.288384829115	0.411081630644	0.297810015231	0.360947144736	0.275821179296	0.278018959422	0.262767528048	0.284834396372	0.290723782598
MM933M	0.400205583279	0.374974248509	0.409002184986	0.389177312252	0.0	0.397000379992	0.405214058336	0.417015128582	0.402520568082	0.391910414059	0.380103567072	0.453630008505	0.393337034781	0.383535157579	0.418048723714	0.433694622325	0.356836817192	0.434788462233	0.330038905441	0.402795550368	0.394030432101	0.418365235443	0.37693830598	0.412808224822	0.386913963752	0.390984331736	0.443250310641	0.431764117918	0.401429898548	0.434382024082	0.391080337359	0.365923478205	0.385131808388	0.296675520749	0.333692557414	0.288186415596	0.43465954393	0.417833406563	0.330919003348	0.370386914854	0.344240692628	0.391826319852	0.39892939128	0.374587118479	0.324009575667	0.458437278531	0.433931325085	0.362089787654	0.365961494232	0.376187975739	0.347334216169	0.368123583098	0.360782737626	0.427660386906	0.417763681714	0.406055508195	0.408501695444	0.386915404054	0.38197803663	0.379673008879	0.393394114435
MMS922	0.277886964895	0.24517724391	0.354002844943	0.272319018988	0.397000379992	0.0	0.390733909568	0.235749521535	0.365601969356	0.314675934932	0.259339339089	0.33732975101	0.262673222559	0.253477998124	0.310853022648	0.400138197678	0.281155505329	0.271891122287	0.327152737608	0.343677493857	0.264753305045	0.350895042827	0.287550667505	0.268697872199	0.325992393382	0.349529462755	0.331220744005	0.312261922712	0.277605565654	0.304271637448	0.275180216527	0.252910958865	0.25908886337	0.420351536696	0.431833859523	0.411045324494	0.300521876935	0.376294644109	0.311620471193	0.328135137775	0.287228141257	0.375155687959	0.282591492161	0.26190528047	0.337524800021	0.277595940948	0.427058190326	0.294784692869	0.319397104332	0.258564168216	0.298721484591	0.337488490134	0.290537745852	0.417722540945	0.28579272412	0.312808397379	0.253749379187	0.270032993974	0.286233453321	0.300219047752	0.254965897646
MMS910	0.310126668917	0.352057421202	0.222891500996	0.344288589058	0.405214058336	0.390733909568	0.0	0.357947165795	0.292273106898	0.32962611755	0.313923186821	0.345438369848	0.378471995972	0.383426801323	0.405737501268	0.206861007868	0.299290023996	0.413709274175	0.293792128069	0.285630510471	0.358238359247	0.203153553784	0.332850088726	0.353131491604	0.367649417199	0.29933621014	0.289587045005	0.320460978151	0.336706543219	0.354186783841	0.343118516763	0.344286736326	0.334132889995	0.426304573669	0.410138412618	0.376718067388	0.331010666488	0.300228889839	0.315759048503	0.283164206237	0.356623146747	0.185165105682	0.374921592817	0.414778794511	0.36871020758	0.418776727545	0.386161859727	0.298399844487	0.24208266233	0.312478393565	0.307142933545	0.280833960395	0.305801000131	0.453547755737	0.351635281658	0.397098517325	0.355337286449	0.341051253501	0.320238728704	0.366664502472	0.372999135283
MMS923	0.311507409287	0.260077668075	0.333447984938	0.237466179763	0.417015128582	0.235749521535	0.357947165795	0.0	0.341626946642	0.314745672065	0.26534824831	0.306020566058	0.253164466926	0.26449464742	0.305147395086	0.387987509291	0.271222385273	0.272178315835	0.317986199543	0.345032066454	0.285952658983	0.348147963393	0.290537296843	0.2934601411	0.288445013826	0.323784611921	0.322706699535	0.321963284042	0.287771555939	0.320808212697	0.270534090331	0.254074628651	0.242853917805	0.408146322831	0.419178017939	0.394492971551	0.319054864699	0.354513405038	0.334100841512	0.31082103077	0.27217912143	0.371627278806	0.275301021407	0.297093365884	0.310160452379	0.307385896449	0.399249000839	0.298800626696	0.312481783961	0.261387794659	0.313585884809	0.330706370492	0.302967682828	0.399226370597	0.323333335839	0.357622586608	0.280512309919	0.283038753358	0.295819440608	0.29859169524	0.290083485119
MMS715	0.345327289429	0.36776461692	0.263579388026	0.334778523805	0.402520568082	0.365601969356	0.292273106898	0.341626946642	0.0	0.305338371392	0.319133873958	0.329198762098	0.369614488657	0.336834203656	0.378450141602	0.314446646447	0.32095499784	0.37195446613	0.323213960196	0.337655231023	0.360320165684	0.298083796825	0.339327175061	0.383923694974	0.345891235984	0.250436698447	0.261887700099	0.339241787842	0.325201195914	0.317017789165	0.355521507829	0.339891389806	0.337059118996	0.408523696698	0.425360049973	0.384190471779	0.343703958127	0.258839326024	0.306962291779	0.286841724294	0.360962420819	0.309501984765	0.364635109984	0.409624931821	0.353697548729	0.423415243202	0.325128194762	0.332147105131	0.286445172616	0.305603582069	0.310305916158	0.274021727709	0.323788429801	0.406786423081	0.34591888617	0.408182492153	0.3602276553	0.352491591815	0.337996954691	0.373835745687	0.373948006157
MMS714	0.326626699735	0.308791870009	0.274998997374	0.280851854467	0.391910414059	0.314675934932	0.32962611755	0.314745672065	0.305338371392	0.0	0.263064300783	0.36199331105	0.318900517946	0.321823123275	0.308435835418	0.346647675586	0.294290153623	0.348541065776	0.333645620023	0.322339278811	0.297481516931	0.34323366303	0.311630624487	0.347399251239	0.335077749046	0.315761167919	0.331805761216	0.346456126652	0.333638406683	0.302400341182	0.323018250315	0.305509205714	0.315624970819	0.400264526527	0.403532659018	0.369469955698	0.339746883942	0.330479350828	0.302771477237	0.250771798065	0.342237166444	0.335404698621	0.335442948601	0.362340186585	0.331914709982	0.317948266419	0.279406808926	0.280532087633	0.304908696617	0.25558612079	0.333432678563	0.303660673053	0.29830455253	0.41047279201	0.303522062376	0.390490107254	0.302564108283	0.306166010006	0.2932035559	0.340306559436	0.322153504419
