	MMS930	MMS925	MMS911	MMS920	MM933M	MMS922	MMS910	MMS923	MMS715	MMS714	MMS717	MMS716	MMS711	MMS710	MMS713	MMS712	MMS944	MMS921	MMS942	MMS943	MMS908	MMS909	MMS928	MMS929	MMS900	MMS901	MMS902	MMS903	MMS904	MMS905	MMS906	MMS907	MMS919	MM943M	MM941M	MM936M	MMS706	MMS707	MMS704	MMS705	MMS702	MMS703	MMS700	MMS701	MMS708	MMS709	MMS917	MMS939	MMS938	MMS916	MMS931	MMS915	MMS932	MMS918	MMS914	MM9362CU	MMS913	MMS890	MMS891	MMS924	MMS912
MMS930	0.0	0.381802330493	0.404066086979	0.35550470932	0.518844962837	0.33083565814	0.389039985753	0.363270418769	0.434033096541	0.407876469543	0.296548126091	0.337313615009	0.369039334842	0.376059591393	0.38902031111	0.423734079971	0.253158874684	0.389167103587	0.315799192784	0.409165811238	0.282889271446	0.346868966188	0.308340722536	0.237051564792	0.387372646791	0.397878312312	0.341660003934	0.303807708936	0.295424738533	0.320669259775	0.320442536647	0.304782838406	0.329737732411	0.551937450727	0.543288647101	0.488725304204	0.338135337533	0.412738513399	0.379146748383	0.386115391875	0.389706981847	0.417786155721	0.374085368263	0.393197734466	0.43253125333	0.346922067865	0.596995123143	0.289466087664	0.301191513936	0.304132145755	0.27409119979	0.368327456303	0.268672373537	0.623830300079	0.361870723721	0.29933951169	0.28218720204	0.232910636205	0.293882074481	0.418326679231	0.318338271882
MMS925	0.381802330493	0.0	0.391561393323	0.311643627435	0.464949071214	0.27543830495	0.425190620661	0.291808981855	0.447307140661	0.365081661627	0.292605993061	0.328889206279	0.267054208622	0.342200006349	0.307535133031	0.452486510674	0.360516352413	0.291652230981	0.373331649012	0.400963776292	0.331777791578	0.392619602442	0.298343933289	0.302333746942	0.329854995174	0.385485949897	0.391060181587	0.327116141695	0.316458521022	0.300020107449	0.333106039266	0.282977381215	0.299607935445	0.543389040162	0.529090896327	0.499989547847	0.346225029348	0.415206339573	0.329334551227	0.35940046624	0.311675623954	0.449291513539	0.342012377492	0.281467497058	0.36906208978	0.319523540914	0.532953364715	0.337031200894	0.371441017625	0.308710057539	0.366351990709	0.386680154131	0.362599494663	0.490769112189	0.359374469607	0.354151877908	0.312947942403	0.32653381986	0.334111260908	0.283725071083	0.281968150273
MMS911	0.404066086979	0.391561393323	0.0	0.386965428108	0.535387883368	0.402562557587	0.28287420782	0.382710008812	0.331272477686	0.337561807832	0.364379920067	0.340268144434	0.398902276484	0.418254346547	0.400402301295	0.280414293024	0.395937817317	0.399641213752	0.417216743793	0.32694655403	0.403477455561	0.297350493021	0.403173961032	0.402037890198	0.401968808043	0.358582858617	0.310106544157	0.349751148464	0.348870369691	0.308512578602	0.422531334703	0.382473769057	0.343108069222	0.586000878895	0.529194600643	0.520452264154	0.369447460582	0.346151894075	0.4064252505	0.358944536242	0.431465571832	0.294904530147	0.411500530503	0.452822860982	0.481373259129	0.386412791141	0.45900562047	0.390350169729	0.346831589972	0.341028367543	0.39099847446	0.36303781951	0.397386584188	0.51995545043	0.36604654901	0.419154015363	0.351727148445	0.389764788408	0.378121658193	0.468322610684	0.378524349423
MMS920	0.35550470932	0.311643627435	0.386965428108	0.0	0.498791918919	0.306690326302	0.429268095781	0.271814618359	0.415011551848	0.34367250956	0.309583017402	0.308669823626	0.30238454115	0.323894770575	0.327120456504	0.446847799406	0.304008736653	0.259867172897	0.387826877459	0.398760621762	0.326427930637	0.402008607097	0.338175010909	0.35271178174	0.400887639204	0.40675971552	0.371028740697	0.35275367646	0.367104416177	0.318915138601	0.334122205474	0.318413695926	0.325683726635	0.499078253818	0.489923649071	0.500791351974	0.375881776586	0.430054502125	0.381913651096	0.34620984069	0.328260597837	0.441609945318	0.354439574946	0.361994210018	0.41241427229	0.306282494993	0.502145370856	0.308221119825	0.369026622199	0.289364558419	0.368998531043	0.373806499488	0.365304846633	0.518024133718	0.347175937296	0.395995537141	0.303032057798	0.338337254344	0.328043469748	0.345665933072	0.326877588891
MM933M	0.518844962837	0.464949071214	0.535387883368	0.498791918919	0.0	0.475856245944	0.540137421009	0.496366493235	0.536742962037	0.5000674567	0.505639763971	0.50352089192	0.480147771063	0.470484346085	0.495625908514	0.549530382069	0.490403197186	0.485502256492	0.486871869504	0.514693444526	0.49109851855	0.543378634829	0.487408342115	0.494134851985	0.474199490699	0.540169371014	0.530958848129	0.496136153788	0.482749626165	0.474874053886	0.498855443084	0.457271586977	0.469572715526	0.453527671112	0.471600765728	0.438408633292	0.50894584963	0.53966407462	0.469848396161	0.505377828051	0.467563782602	0.559238543253	0.511093287483	0.452029555669	0.491276928665	0.503824068165	0.637082380029	0.501818218735	0.509938963486	0.482892160134	0.454757211988	0.484632237504	0.482090626498	0.561331164012	0.507138082094	0.455072855759	0.475593975493	0.478229324825	0.482422557093	0.536404029415	0.465432450134
MMS922	0.33083565814	0.27543830495	0.402562557587	0.306690326302	0.475856245944	0.0	0.447484099854	0.260734567343	0.415188619108	0.351453775513	0.299419871795	0.343827901733	0.300255522266	0.283269962753	0.337845414271	0.4520706067	0.332884886395	0.272749593327	0.377012376135	0.394716373434	0.313933857898	0.398509135121	0.323889188203	0.303041644972	0.369969489446	0.397054992191	0.379975088976	0.337978520115	0.323974491366	0.30543301027	0.307996294192	0.287023544467	0.286855334012	0.531036844835	0.52131985614	0.507269216854	0.328943316009	0.429073718525	0.352592608602	0.379399982839	0.318014072588	0.441917090708	0.313885849034	0.303988202953	0.400627542767	0.278095082156	0.519376160891	0.339408422461	0.375271491483	0.302040221834	0.345229832078	0.391777604569	0.336165362634	0.491522717957	0.332171758673	0.342534025783	0.289905565492	0.314534919826	0.323781137424	0.325148280243	0.285487897249
MMS910	0.389039985753	0.425190620661	0.28287420782	0.429268095781	0.540137421009	0.447484099854	0.0	0.40903622319	0.377987093712	0.406387221549	0.395947006872	0.353066378793	0.440478367563	0.451685921598	0.451348287127	0.25200496615	0.41224061252	0.438632870999	0.397712874169	0.353745056993	0.428316508054	0.258253910794	0.422795024089	0.387797857006	0.43955448313	0.395354550574	0.309148704023	0.347382700726	0.387836917597	0.355255153857	0.424718980636	0.408832334904	0.394686912026	0.595642683706	0.544177641171	0.510068154726	0.366257688375	0.370929928096	0.420218953524	0.379279975978	0.463781248389	0.252251346205	0.465132038094	0.48967868906	0.511864855676	0.431307098384	0.529393571505	0.409943823714	0.331369908519	0.386350813208	0.391567503287	0.357685306708	0.404143693539	0.580778628075	0.401727204385	0.427069680385	0.391831942005	0.400730393728	0.394191849842	0.495008046802	0.423905849653
MMS923	0.363270418769	0.291808981855	0.382710008812	0.271814618359	0.496366493235	0.260734567343	0.40903622319	0.0	0.388482813046	0.354321886689	0.306355764394	0.303565946509	0.288820965141	0.297878467309	0.329004925653	0.440681789032	0.317519758143	0.267732547425	0.371070240253	0.402080568838	0.325100653533	0.399572121417	0.332526574118	0.320342474991	0.32490506756	0.37117684282	0.358792278953	0.338283363009	0.325243048971	0.31764112044	0.305345263102	0.285254902747	0.268663178045	0.516342932694	0.5014467718	0.481948014472	0.341815323586	0.405436358266	0.388771960547	0.362125510379	0.302121407558	0.442808717131	0.306420018333	0.341638068191	0.370864731668	0.300142231083	0.487612571202	0.345678318542	0.376713650642	0.301744904511	0.358474887297	0.387466643847	0.350146172259	0.463396051235	0.368411145455	0.378113627377	0.309506529024	0.317836130343	0.336585989925	0.337345930499	0.322119960087
MMS715	0.434033096541	0.447307140661	0.331272477686	0.415011551848	0.536742962037	0.415188619108	0.377987093712	0.388482813046	0.0	0.374263711278	0.40886317522	0.335371146299	0.428865165459	0.394171540871	0.420136364568	0.382104102091	0.423129369014	0.390474561614	0.437099067837	0.414582498376	0.431293510406	0.375057737572	0.433872132481	0.433134057917	0.410698029874	0.323886817463	0.280653344884	0.370711012043	0.378787312104	0.320359116503	0.447507385749	0.407688025426	0.398591910655	0.563215904934	0.55622146356	0.529009334172	0.378435012929	0.3145505315	0.408863859045	0.373509691343	0.465239265347	0.406568141005	0.458181664159	0.485037066844	0.495880852585	0.431823560549	0.441058070734	0.446954069836	0.382226034462	0.378002288988	0.395466327124	0.341795130821	0.423591262068	0.523353712469	0.395927403402	0.4470227685	0.402751827838	0.421292004948	0.4188783419	0.490558293658	0.424221441508
MMS714	0.407876469543	0.365081661627	0.337561807832	0.34367250956	0.5000674567	0.351453775513	0.406387221549	0.354321886689	0.374263711278	0.0	0.330077068211	0.371286598376	0.365267071014	0.372590404322	0.334358209361	0.414525427377	0.38251321292	0.359673301967	0.437462481241	0.394517668363	0.3595500106	0.423871628518	0.386311472818	0.385517105617	0.400431704809	0.396942824695	0.365878321202	0.371806718604	0.385335191258	0.303893432323	0.396419588296	0.362801221715	0.369202530962	0.531421169489	0.514234132807	0.486865388949	0.369707724681	0.401086709197	0.381637099547	0.311332373564	0.418725156559	0.426897189103	0.410583302376	0.423179466252	0.434673388071	0.312402138139	0.372936371074	0.357147759112	0.394636445947	0.318632953831	0.414255046187	0.376712034726	0.375358788039	0.516857937722	0.347014371627	0.417829239113	0.335216844432	0.363860388685	0.359886628418	0.425684058093	0.355263396316
