	MMS930	MMS925	MMS911	MMS920	MM933M	MMS922	MMS910	MMS923	MMS715	MMS714	MMS717	MMS716	MMS711	MMS710	MMS713	MMS712	MMS944	MMS921	MMS942	MMS943	MMS908	MMS909	MMS928	MMS929	MMS900	MMS901	MMS902	MMS903	MMS904	MMS905	MMS906	MMS907	MMS919	MM943M	MM941M	MM936M	MMS706	MMS707	MMS704	MMS705	MMS702	MMS703	MMS700	MMS701	MMS708	MMS709	MMS917	MMS939	MMS938	MMS916	MMS931	MMS915	MMS932	MMS918	MMS914	MM9362CU	MMS913	MMS890	MMS891	MMS924	MMS912
MMS930	0.0	0.312194042287	0.319278259656	0.283279302663	0.400810399483	0.279308334478	0.311234197509	0.312125978161	0.347410053738	0.32860771879	0.222938060525	0.312698091392	0.309456216027	0.316982295934	0.346679517923	0.348646420295	0.200643557484	0.362150524474	0.261395047023	0.322372451636	0.233658827958	0.273335512611	0.240652969656	0.211196147835	0.318658296529	0.315249862608	0.291761223154	0.276250644196	0.255218750404	0.302131914269	0.258124505065	0.249306702935	0.280610478011	0.412492513223	0.419254525664	0.37544357033	0.296638212132	0.332614185694	0.305508472022	0.306133723356	0.319141240652	0.328368060145	0.301016940692	0.319273244916	0.340499427527	0.331145597907	0.450507321239	0.228619466041	0.235591669835	0.23242883728	0.208747084442	0.284443251978	0.206229460728	0.488090640095	0.299380700184	0.280034006988	0.251964683732	0.18912750805	0.240704966956	0.330471166657	0.28136976508
MMS925	0.312194042287	0.0	0.324391685725	0.258633454642	0.375023823731	0.245527218607	0.352249733051	0.26011521517	0.368478033553	0.309474381471	0.242221943033	0.32381212131	0.234906352163	0.295131242005	0.288221048489	0.384451562239	0.286699822292	0.29611997944	0.305882529314	0.328663783929	0.277129115939	0.328730301923	0.248411783065	0.277628544263	0.277023408897	0.320762056079	0.352258340161	0.310657870741	0.278480952803	0.306252991341	0.27368728828	0.23908653236	0.256515290715	0.412374469709	0.419169464314	0.390904017269	0.319995988632	0.346337634584	0.27491078612	0.291737629859	0.259379777446	0.359870036814	0.288012849819	0.242470673975	0.291677937908	0.3232060274	0.414817906244	0.277840906867	0.298984011955	0.248198302189	0.303024827083	0.316475830807	0.296007558338	0.404754309177	0.313469795481	0.339305936386	0.287016093184	0.275225006864	0.275234303667	0.239753581579	0.256093000711
MMS911	0.319278259656	0.324391685725	0.0	0.31268430739	0.409002521888	0.354093926351	0.22293601296	0.333452277198	0.264001395785	0.275342562895	0.288553295213	0.332067400065	0.343796140841	0.357931097509	0.361506326822	0.234853009599	0.303197409336	0.384241282485	0.317219113498	0.267577088767	0.336228919844	0.23358442222	0.317352361108	0.358643925964	0.336612083592	0.282993701159	0.291155397568	0.319834835798	0.304666559793	0.308616137511	0.336844153864	0.321783580722	0.290888415606	0.42717650775	0.406115738909	0.390960618392	0.336660785612	0.280629529383	0.318376270395	0.278549059728	0.344470463155	0.23340348711	0.329343937151	0.385544349874	0.356111724624	0.384137536141	0.343876544913	0.298752879932	0.268798208307	0.278334277339	0.308737959864	0.28367895159	0.309201757332	0.408095597006	0.325114506018	0.390356664759	0.319916832744	0.328897685506	0.307216091427	0.36098082098	0.333296014836
MMS920	0.283279302663	0.258633454642	0.31268430739	0.0	0.390101943931	0.274249804069	0.345750330684	0.238517260987	0.33746415585	0.283560950772	0.247817819494	0.307225248724	0.264710628743	0.278395909544	0.298768341028	0.369555375371	0.237547017728	0.263448363716	0.303914143267	0.324008726442	0.26438051361	0.325181890621	0.270501006504	0.315142498348	0.334558562071	0.326612887672	0.337291524088	0.331334558781	0.320166030388	0.317612138975	0.267399516205	0.266690249546	0.273586011915	0.373665376491	0.38260216534	0.381417474274	0.341608137927	0.34998720718	0.306948538057	0.27870510883	0.269858723513	0.347442188044	0.288897399993	0.309353606496	0.319726282914	0.310051639568	0.382187025208	0.242598280789	0.28783575188	0.231917957847	0.299572903634	0.30246310504	0.288585506572	0.412332430617	0.299933278277	0.365876711619	0.276993230316	0.278333996935	0.262769650427	0.284851892052	0.291222941966
MM933M	0.400810399483	0.375023823731	0.409002521888	0.390101943931	0.0	0.397096553026	0.405255263108	0.417016981111	0.402884880427	0.392218902799	0.38172621535	0.454078520923	0.39334290017	0.383558739221	0.418938581976	0.435718447882	0.360605697807	0.434820905284	0.335053398255	0.402999647054	0.394289684228	0.418404448247	0.377975146923	0.412810771861	0.386966344654	0.391247328957	0.443596030089	0.431806173183	0.401782891883	0.434386640861	0.392641404888	0.366574214869	0.385602367471	0.298010617436	0.333738251941	0.29036251895	0.434973078164	0.417881133797	0.333120904518	0.370919349332	0.344314847861	0.39210867794	0.39913575085	0.37475335855	0.326442483306	0.459013959728	0.434915139236	0.365595334561	0.369300605959	0.377409401213	0.348820127544	0.36813348762	0.362763303511	0.427689988624	0.417914910961	0.407486779442	0.408502734187	0.38711476237	0.382996807099	0.380865492153	0.393487254614
MMS922	0.279308334478	0.245527218607	0.354093926351	0.274249804069	0.397096553026	0.0	0.390745207248	0.235908244254	0.365694359088	0.314743067442	0.262349466889	0.337499990768	0.262740046269	0.25374219729	0.311336528331	0.401473879057	0.28686136795	0.271909714359	0.33375200845	0.343700023764	0.265568825029	0.351176889915	0.289581873621	0.268856142195	0.326314760167	0.35025514366	0.331321824401	0.312273072771	0.278589290022	0.304438471498	0.278077265308	0.25440013455	0.260290914403	0.42218018269	0.432082230627	0.413758476764	0.300605349604	0.376302615402	0.314988228776	0.329303088648	0.287613767242	0.37588510635	0.283287635857	0.261915251157	0.341013267173	0.27788522796	0.42874684656	0.300083093663	0.324328476385	0.260960138873	0.301272005996	0.33753829351	0.293841931583	0.417739758508	0.285801413975	0.313723059687	0.253844735021	0.270718944478	0.288253785106	0.3024483626	0.255432151888
MMS910	0.311234197509	0.352249733051	0.22293601296	0.345750330684	0.405255263108	0.390745207248	0.0	0.358012735664	0.292462835455	0.329761347023	0.316348849759	0.345708982007	0.378488892756	0.383556568452	0.406300890899	0.208963229134	0.304331149981	0.413709601364	0.300134760565	0.285704322547	0.358778167312	0.203371363637	0.334458463541	0.353201534742	0.367844519843	0.299929497736	0.289782788913	0.320461031305	0.337411507274	0.354267505269	0.34539978341	0.345354213199	0.334994849386	0.427848310011	0.41030102035	0.379238050524	0.331165831101	0.300229263966	0.318708843808	0.284166583433	0.3568543223	0.185891865831	0.375372159286	0.414816075262	0.371653471421	0.419120367296	0.387696145637	0.303163901648	0.247036285671	0.314377219257	0.30931694285	0.280847658209	0.308640629714	0.453548455513	0.351674669468	0.398101287229	0.355368858213	0.341508840579	0.321864691511	0.368386856524	0.373268120227
MMS923	0.312125978161	0.26011521517	0.333452277198	0.238517260987	0.417016981111	0.235908244254	0.358012735664	0.0	0.342088400652	0.315150478547	0.267139938688	0.306663278161	0.253182339641	0.264508902028	0.306308807149	0.390306568803	0.275297491687	0.272242062855	0.322884220495	0.345301135381	0.286207782024	0.348174900377	0.291617147738	0.293460204734	0.288484621452	0.324028696392	0.323189552819	0.322036414167	0.288132207586	0.320808996698	0.272275150669	0.254757406844	0.243361142498	0.409179925477	0.419202548039	0.396226988111	0.319491811681	0.354589208845	0.336158616232	0.311334628954	0.27223614702	0.371872759232	0.275504268304	0.297323281635	0.31249835049	0.308206108059	0.400205853778	0.30247184828	0.315927738985	0.262720034666	0.315034290671	0.330728435155	0.30499167377	0.399274754494	0.323550110106	0.359284745332	0.280519258944	0.28322808679	0.296880698904	0.299832827334	0.290163385156
MMS715	0.347410053738	0.368478033553	0.264001395785	0.33746415585	0.402884880427	0.365694359088	0.292462835455	0.342088400652	0.0	0.305341644893	0.323041756025	0.329209286525	0.36990820284	0.337466306334	0.378579464572	0.315293157455	0.327889090827	0.372138543319	0.331548207327	0.337680768413	0.361635976852	0.298843432495	0.342154763401	0.384365341311	0.346644214119	0.251985109008	0.26188773784	0.339412926638	0.326817954068	0.317536104111	0.359169133073	0.342012351868	0.338873940171	0.411273893075	0.425984603849	0.388119377081	0.343704816962	0.259020671874	0.311615877511	0.288900904729	0.361759525437	0.310976798967	0.365820975317	0.409666517653	0.358318834509	0.423451641701	0.328095963624	0.338645638344	0.29317136345	0.308896886531	0.313913386573	0.274333884482	0.328142870677	0.406968188186	0.345967038369	0.408535586568	0.360577031561	0.353672553409	0.340813629686	0.376770737885	0.374808456643
MMS714	0.32860771879	0.309474381471	0.275342562895	0.283560950772	0.392218902799	0.314743067442	0.329761347023	0.315150478547	0.305341644893	0.0	0.267056391617	0.362017298843	0.319157265622	0.322381902226	0.30862628229	0.347557041824	0.301193274955	0.348686664245	0.341537306435	0.322350331689	0.298791822672	0.343853815782	0.314385258765	0.347794341292	0.335748461306	0.317043092364	0.331809600144	0.34658282115	0.335096789751	0.302849655437	0.326633088882	0.307573507248	0.317346623086	0.402879175128	0.40409845445	0.37327841146	0.339747580136	0.330600862648	0.307210017318	0.252764332083	0.342959979786	0.336694228144	0.336561991888	0.362364873678	0.336451293859	0.318018062051	0.282372423745	0.287230993122	0.311173764166	0.25889856573	0.336714056156	0.303900699123	0.302583424578	0.410611413593	0.303550674141	0.390921221041	0.302877532669	0.307306296571	0.296014781238	0.343206594146	0.322979365337
