	MMS930	MMS925	MMS911	MMS920	MM933M	MMS922	MMS910	MMS923	MMS715	MMS714	MMS717	MMS716	MMS711	MMS710	MMS713	MMS712	MMS944	MMS921	MMS942	MMS943	MMS908	MMS909	MMS928	MMS929	MMS900	MMS901	MMS902	MMS903	MMS904	MMS905	MMS906	MMS907	MMS919	MM943M	MM941M	MM936M	MMS706	MMS707	MMS704	MMS705	MMS702	MMS703	MMS700	MMS701	MMS708	MMS709	MMS917	MMS939	MMS938	MMS916	MMS931	MMS915	MMS932	MMS918	MMS914	MM9362CU	MMS913	MMS890	MMS891	MMS924	MMS912
MMS930	0.0	0.673374672021	0.715716582164	0.623101464222	0.825607696625	0.599155608775	0.721581090016	0.657836690143	0.754355188596	0.737341792157	0.509612187807	0.65083171781	0.668346815611	0.654080390338	0.720037507737	0.782769315127	0.473737376425	0.724734145204	0.581248598104	0.705956028478	0.536863754941	0.655654588875	0.580182744895	0.45242696575	0.695522284448	0.693744498733	0.64080137739	0.599391399374	0.55403297163	0.60040572962	0.607003368186	0.575659837114	0.61112834326	0.861716614444	0.848831727036	0.772286193656	0.616732077412	0.731729801205	0.648985015441	0.670319856044	0.716740629172	0.718725601844	0.693184097592	0.705356716244	0.702830067639	0.660957061051	0.90524979851	0.497179843597	0.509062837542	0.535876662412	0.511979302671	0.657907602397	0.494245023583	0.949686003434	0.655479230719	0.575967787386	0.559291239665	0.441303529717	0.584714109527	0.700043020543	0.592041553057
MMS925	0.673374672021	0.0	0.726507301234	0.592387336602	0.782123430875	0.555901359007	0.770113920899	0.597278572635	0.782088933971	0.701188245397	0.565922036661	0.683629281398	0.53558161616	0.648904117251	0.625831145369	0.842352866365	0.640887271939	0.648160312489	0.680150078552	0.738829400253	0.627041518214	0.758400904537	0.577068305052	0.60208068661	0.625013359769	0.720968597448	0.750893192986	0.663064275487	0.621309013052	0.65048845751	0.638071064415	0.603699709173	0.615421468691	0.837172845335	0.817681866007	0.776377808777	0.67491589934	0.787589303221	0.582307458895	0.648751447851	0.581748554566	0.766222750575	0.661520309313	0.562514491573	0.62787244915	0.635114482196	0.795397188427	0.615404792101	0.650760491662	0.59385608677	0.685747319273	0.714574589411	0.655354818836	0.812974278457	0.68986625247	0.691108118378	0.617255300459	0.631227469692	0.667888849775	0.544955982008	0.599811628519
MMS911	0.715716582164	0.726507301234	0.0	0.688696793383	0.873693759108	0.725881439161	0.530537442631	0.695160963702	0.627648149583	0.6522772943	0.656486691146	0.693939364264	0.730947266466	0.774971205343	0.780907354251	0.57174807768	0.681733662924	0.779642886656	0.729883968912	0.637742554304	0.72642916835	0.55571532972	0.727946079583	0.742486722259	0.765282909532	0.687444484822	0.626547211195	0.677956553727	0.675754625224	0.631457013625	0.760069374371	0.743108283098	0.677701277883	0.881761130988	0.840824360429	0.818288158957	0.704302620866	0.691874037658	0.739441570972	0.653689627875	0.791476005368	0.52372694026	0.765009061571	0.815060626033	0.794720013923	0.760217526092	0.712114348816	0.689484330889	0.619443017153	0.645108595406	0.703758365198	0.670466893374	0.726304860541	0.840824311422	0.724213804853	0.76339312234	0.665472919753	0.716682027174	0.719075175399	0.785824345536	0.713213639277
MMS920	0.623101464222	0.592387336602	0.688696793383	0.0	0.805038800384	0.584101984726	0.770889164154	0.530739788632	0.72362031722	0.647309282416	0.563716942517	0.635231524075	0.60261633575	0.631559953456	0.663304580085	0.822829322138	0.563188158055	0.538988606756	0.685490074945	0.722630006029	0.594112236125	0.749354638098	0.644126932858	0.638755791878	0.716573912672	0.731088064614	0.715489052998	0.697931347537	0.6602581086	0.642518638655	0.63854382575	0.630217626122	0.62369472591	0.777248105732	0.759629324097	0.754766350825	0.68470807311	0.781635145805	0.671005309527	0.637784984141	0.618142171788	0.753148869152	0.65587898586	0.692233283029	0.691531474317	0.623262179012	0.76308303085	0.551667880061	0.627845865222	0.563742470845	0.66146490681	0.699631356952	0.637966032701	0.829626121374	0.680760856798	0.709275163487	0.582679368211	0.608721246243	0.652399798981	0.638410910744	0.622806651902
MM933M	0.825607696625	0.782123430875	0.873693759108	0.805038800384	0.0	0.782846892592	0.873094284345	0.823610251521	0.857673452519	0.83779398422	0.790309676643	0.861487877054	0.804912646922	0.780698652164	0.828668104749	0.900786704879	0.784797837436	0.830537350823	0.770538541228	0.834646312003	0.804615605048	0.884935634568	0.81052793448	0.80388210979	0.795709647251	0.856325669118	0.880297487429	0.843419685204	0.800713725413	0.81842548395	0.817601239604	0.761712602235	0.802418630402	0.732590558438	0.799495235533	0.73295966994	0.838593003012	0.877346945311	0.785643962254	0.81012410264	0.783496079163	0.884407689458	0.838249025612	0.777677461617	0.773719725654	0.877984984173	0.922279638229	0.783128909544	0.808771781408	0.792722122926	0.743323390258	0.788637951462	0.772607962691	0.862736872676	0.846156092764	0.780238767728	0.813181991743	0.790863526891	0.793502939655	0.833304477486	0.799676716218
MMS922	0.599155608775	0.555901359007	0.725881439161	0.584101984726	0.782846892592	0.0	0.794323204324	0.544473792082	0.743606633187	0.676175130022	0.547267840075	0.704773161734	0.586917701161	0.556130482906	0.666333954362	0.840750207906	0.605745916843	0.605811094947	0.661656719552	0.726370645214	0.598118848637	0.757544997522	0.622973850622	0.596783207298	0.696583370271	0.723096797331	0.722197734701	0.673733346819	0.62114251763	0.631926812718	0.603439002542	0.578593149398	0.598302713937	0.822081732494	0.839977970926	0.783169793461	0.649605436594	0.787655499662	0.616704031487	0.668696819834	0.600120050678	0.760406183522	0.610454399328	0.590026731275	0.65845925006	0.570781697933	0.805293701964	0.594449776123	0.650904556563	0.566675287315	0.645754832177	0.7008355971	0.627946501459	0.806155599767	0.645903342214	0.662366695431	0.579688221233	0.607275355476	0.643821104139	0.604757940206	0.581800837504
MMS910	0.721581090016	0.770113920899	0.530537442631	0.770889164154	0.873094284345	0.794323204324	0.0	0.758980330889	0.679062892798	0.748732425306	0.718448303374	0.702136383243	0.800637186154	0.815890336857	0.84756183214	0.519766681033	0.707204861601	0.836161920846	0.721956537536	0.636976907799	0.760531994488	0.490248105527	0.757780326567	0.7293910739	0.803123666635	0.720218421158	0.616897498056	0.676343818836	0.707437282686	0.698271571206	0.775099339191	0.772393514292	0.734401246939	0.907210809772	0.873689418526	0.825042804136	0.686511441734	0.710293018936	0.748106431715	0.691212252826	0.825506893844	0.430766881462	0.839265646747	0.864900105884	0.827245714972	0.819452147123	0.811433947569	0.708003781351	0.594577696039	0.707038892503	0.710724238718	0.683565129066	0.722783634811	0.902953271361	0.761629197518	0.780512145467	0.729340551247	0.734975965228	0.740090388931	0.822007457398	0.772493498949
MMS923	0.657836690143	0.597278572635	0.695160963702	0.530739788632	0.823610251521	0.544473792082	0.758980330889	0.0	0.71514600187	0.680016818525	0.590789294196	0.65320623077	0.593284501434	0.604937599118	0.70053214001	0.842768559898	0.604948597165	0.590142425217	0.664572294993	0.744451689979	0.633920100798	0.751100495713	0.635513494706	0.62943560604	0.645811490764	0.694061177013	0.712856513177	0.690014312524	0.638507582953	0.663782366029	0.599397416916	0.587419755588	0.576135309562	0.812617132702	0.823001088535	0.767745742718	0.6748306976	0.768113045353	0.653064288634	0.653866880673	0.575587182226	0.757715136919	0.596843878703	0.675569228139	0.627281339859	0.616915176267	0.770429725591	0.619406716373	0.652894070619	0.591195553932	0.680291321815	0.714575248904	0.649451740353	0.785705097147	0.728047308332	0.725674998828	0.629062353004	0.623218267788	0.685007515701	0.613538020883	0.644385081907
MMS715	0.754355188596	0.782088933971	0.627648149583	0.72362031722	0.857673452519	0.743606633187	0.679062892798	0.71514600187	0.0	0.697451105371	0.706245848636	0.659110063215	0.772598387682	0.7166436187	0.771851354235	0.72542542691	0.720890995663	0.736481391343	0.740947302972	0.75622263538	0.749823115834	0.716068827008	0.756846512419	0.770080616341	0.768763502158	0.598948975334	0.53934358912	0.714528322173	0.695075197157	0.657180316282	0.77766839	0.732490692977	0.732716851673	0.864735729663	0.881209516159	0.802257349907	0.718831904029	0.619686598598	0.69543992651	0.680814389143	0.805732015908	0.719234527483	0.799116155573	0.833080037789	0.769401386958	0.79966335697	0.689536616656	0.744942572227	0.681393869519	0.679828195814	0.707141481134	0.653256439197	0.72785891351	0.836343530144	0.734883298731	0.788557631457	0.740774574816	0.750266622938	0.770716377284	0.806015742047	0.768208295738
MMS714	0.737341792157	0.701188245397	0.6522772943	0.647309282416	0.83779398422	0.676175130022	0.748732425306	0.680016818525	0.697451105371	0.0	0.633247453825	0.76409072898	0.697621239478	0.732778254416	0.7117134841	0.7933867705	0.689760002988	0.751514384408	0.749856568687	0.745170504987	0.688655141365	0.807322575019	0.71900395088	0.733653129888	0.762644868815	0.739091068663	0.719917556605	0.739337735432	0.729204949364	0.661090440537	0.753946145806	0.730075196349	0.726486713653	0.859940094321	0.842892696776	0.776340327736	0.722631121286	0.783038208493	0.706818708211	0.584155336335	0.775064699725	0.751395852296	0.764470118835	0.783297027884	0.736903498517	0.643375741485	0.569037864942	0.655514716518	0.699266990613	0.624027012026	0.754333484921	0.69979866752	0.691121861012	0.829169258727	0.691534474176	0.78982255202	0.666587447137	0.706581010482	0.722650641237	0.755821909637	0.717467915029
