	MMS930	MMS925	MMS911	MMS920	MM933M	MMS922	MMS910	MMS923	MMS715	MMS714	MMS717	MMS716	MMS711	MMS710	MMS713	MMS712	MMS944	MMS921	MMS942	MMS943	MMS908	MMS909	MMS928	MMS929	MMS900	MMS901	MMS902	MMS903	MMS904	MMS905	MMS906	MMS907	MMS919	MM943M	MM941M	MM936M	MMS706	MMS707	MMS704	MMS705	MMS702	MMS703	MMS700	MMS701	MMS708	MMS709	MMS917	MMS939	MMS938	MMS916	MMS931	MMS915	MMS932	MMS918	MMS914	MM9362CU	MMS913	MMS890	MMS891	MMS924	MMS912
MMS930	0.0	0.750736992063	0.793984718004	0.699257192826	0.927651186452	0.663003344987	0.802203918839	0.727693706245	0.839566850807	0.812317839696	0.584086428791	0.705757709101	0.736725075939	0.723876860708	0.78100973743	0.860663084965	0.557532767083	0.77851767553	0.671087800794	0.787302704427	0.597346146983	0.726563291788	0.647281910068	0.503211521851	0.764432749528	0.781380964207	0.707982362562	0.646792736251	0.615554024651	0.641234242936	0.675062476386	0.631730661751	0.673755187703	0.983178152006	0.9474890573	0.88031178906	0.674941140867	0.810033160793	0.731213886036	0.751142176972	0.799989330173	0.813813488788	0.766161463371	0.781817949014	0.812031569631	0.699682843574	1.02686082553	0.580449755657	0.587320969745	0.603166402892	0.58141192082	0.734887434051	0.571212182856	1.05273789666	0.727072780841	0.628322359436	0.6132981067	0.494034631728	0.641089520129	0.797856896244	0.650725020157
MMS925	0.750736992063	0.0	0.8026972789	0.654543841733	0.868469277247	0.601393020799	0.849638038511	0.645861224098	0.864667632161	0.764730199124	0.629767488024	0.719122471926	0.579607707218	0.704534986159	0.660230322506	0.913934909261	0.735953702567	0.675334103326	0.775902094996	0.815774549183	0.682691643772	0.828865079804	0.637404090439	0.645836104242	0.682879247983	0.801327138356	0.808835394301	0.694636801375	0.670191175768	0.66897106554	0.700745492046	0.649350196849	0.667596480193	0.960966875966	0.913927091541	0.890700214007	0.72096450013	0.864296572271	0.668708601062	0.73707993287	0.65971997978	0.868935376974	0.722483825835	0.613933201057	0.745599186355	0.65643080433	0.906176979868	0.695490752322	0.744239865287	0.663353973781	0.76010151802	0.79094329035	0.734684547924	0.89402046592	0.751482591334	0.736548492927	0.663235013677	0.690370995361	0.719213155118	0.624350052506	0.643656067859
MMS911	0.793984718004	0.8026972789	0.0	0.770912541709	0.984940182283	0.784621016607	0.605010243296	0.755425586408	0.706206714831	0.722263070782	0.73136816872	0.736171888355	0.798283147696	0.843085058536	0.833900687696	0.628982027726	0.771827456515	0.822498615595	0.842439360587	0.706436478452	0.790432708511	0.622835210253	0.803069387337	0.799839755844	0.837417698983	0.776249036994	0.676217985598	0.72274277519	0.730961454269	0.656112688095	0.834636671703	0.805317746631	0.736667707935	1.0179289161	0.939176688454	0.939398359432	0.758644679151	0.769014253375	0.843714698404	0.746973596663	0.882408003445	0.606640164771	0.84382626175	0.895563437126	0.935606054145	0.789103101082	0.820917049605	0.78093204076	0.711989314657	0.718534262918	0.781435830401	0.753028347	0.816583742983	0.93378180549	0.794819963541	0.818082616735	0.717024461102	0.782737103174	0.779517908446	0.897413167547	0.768680987603
MMS920	0.699257192826	0.654543841733	0.770912541709	0.0	0.9080911678	0.635653199964	0.862790790126	0.583997260576	0.809213999542	0.713691382266	0.636878464506	0.673691190352	0.657267698559	0.690575112985	0.711336333334	0.904484531169	0.644945000008	0.565993047586	0.795684196764	0.800585548739	0.655730569486	0.831035963643	0.716611260481	0.692866225002	0.783634673085	0.826167375807	0.778145025877	0.736663153395	0.712887080813	0.672423336452	0.703995181485	0.68735108619	0.682293872197	0.898715705963	0.856466056968	0.870037256105	0.737601870174	0.864722993011	0.769725316805	0.725036070265	0.696025637836	0.861456780198	0.721605057858	0.759710642804	0.818563732672	0.647247944548	0.878436617126	0.634501078515	0.727328287195	0.631043585304	0.735884803153	0.78074771997	0.723009428808	0.922266238053	0.749733544392	0.761977380163	0.630245404361	0.676866074338	0.70547918038	0.722739190625	0.673925416353
MM933M	0.927651186452	0.868469277247	0.984940182283	0.9080911678	0.0	0.864866927919	0.984274734197	0.904531489718	0.980558888594	0.936671509728	0.899289636695	0.927291429837	0.89299662451	0.867658671741	0.908376290009	1.00784038737	0.901595353437	0.894254821363	0.896824256431	0.942180939327	0.896041781228	0.991043829961	0.91065764596	0.884836357237	0.88249571501	0.980826756807	0.971535560983	0.91063209561	0.878647785698	0.873179468101	0.915816595418	0.847648825885	0.883975484038	0.858790312363	0.913020244953	0.842442434065	0.918746604911	0.988795822829	0.901176409953	0.928855757175	0.890998973873	1.01416915934	0.935735379408	0.861765916882	0.908382897033	0.935425044465	1.06661261957	0.906326373346	0.928016957585	0.888476823759	0.838525955149	0.896291120574	0.879631600228	0.970795964024	0.942622588912	0.847980828463	0.89530548159	0.87641606789	0.882108997284	0.959100535967	0.878676190205
MMS922	0.663003344987	0.601393020799	0.784621016607	0.635653199964	0.864866927919	0.0	0.86385749503	0.576173975353	0.805157187901	0.721858420762	0.604245130735	0.728943599467	0.625867538676	0.592125338771	0.694757717187	0.900229280747	0.684739884853	0.627023346785	0.750098136879	0.787350229142	0.645390561567	0.819722613593	0.681305635688	0.634878299037	0.747333338648	0.79373616179	0.773986044108	0.701697848567	0.659483664558	0.647837824561	0.654895825387	0.617936948288	0.637551412178	0.928092347018	0.923793089257	0.884086886234	0.685200049605	0.851099092738	0.691240630644	0.741543078998	0.658671151229	0.847622105872	0.659736356468	0.638567332481	0.762520986028	0.582554383112	0.900287657233	0.666645262296	0.735709017488	0.620615565864	0.708049440461	0.763769380059	0.694338472209	0.876881084262	0.693892888715	0.701592596779	0.620148579891	0.662518404322	0.688179504894	0.669413416566	0.617251327045
MMS910	0.802203918839	0.849638038511	0.605010243296	0.862790790126	0.984274734197	0.86385749503	0.0	0.82478800972	0.765030045052	0.830819577445	0.799874209495	0.743137664213	0.874949873186	0.891441547262	0.907959237242	0.5869992357	0.801928393053	0.88510089482	0.826826109009	0.71321191048	0.829553524781	0.5620687629	0.837762016354	0.783297291996	0.8807872114	0.818194708447	0.668142614847	0.723658740643	0.768290397802	0.725080292478	0.847152796866	0.839444352157	0.801594214561	1.04343391493	0.977389122856	0.942147141056	0.744477660103	0.790019069275	0.851210796062	0.787863381141	0.926370772466	0.521733551334	0.927884687158	0.9511079378	0.970434564988	0.854649850001	0.929602356745	0.805081424331	0.683109587737	0.786617567055	0.793550361333	0.769471424864	0.817152417512	1.00549293802	0.837272641463	0.84498199029	0.786884473445	0.803782654743	0.809655202161	0.942238027607	0.833338684132
MMS923	0.727693706245	0.645861224098	0.755425586408	0.583997260576	0.904531489718	0.576173975353	0.82478800972	0.0	0.775677082545	0.73299317215	0.652981236642	0.670553338716	0.632236638778	0.647762259614	0.729918742742	0.901912963071	0.67838067478	0.603114092085	0.751656503839	0.807394927441	0.684306446354	0.81423274747	0.697283355003	0.664787576871	0.685975883895	0.765141203116	0.759467551135	0.714204720083	0.67570160348	0.673246983835	0.648317576526	0.628427172016	0.612674785309	0.922418250029	0.905350310684	0.869819094752	0.70607545811	0.829359424734	0.74014945231	0.727994211635	0.636434260107	0.845584229762	0.644405734407	0.726125250015	0.736263632662	0.627831182507	0.871437033571	0.694250866468	0.741064227051	0.645306548494	0.744083234078	0.778179371918	0.718243608762	0.851067409431	0.781774936674	0.764225218474	0.668603541167	0.675245663011	0.72832293101	0.68385679584	0.682272104574
MMS715	0.839566850807	0.864667632161	0.706206714831	0.809213999542	0.980558888594	0.805157187901	0.765030045052	0.775677082545	0.0	0.77330685821	0.798013577606	0.69080531233	0.842297717344	0.784275874298	0.825473823582	0.803651411134	0.816872697448	0.772102211354	0.860773920929	0.846293139151	0.820298113506	0.795755782998	0.845372597276	0.829049721156	0.844718444228	0.688030961419	0.58027688538	0.75637736368	0.749869020106	0.681990232747	0.858149002191	0.79711289074	0.802104887741	1.00001278281	0.988205302719	0.930640756382	0.775138242745	0.690425359102	0.813093801071	0.7775941166	0.908659709215	0.833235545812	0.88717021322	0.917099461937	0.920847884068	0.829128871108	0.803610641679	0.852969175292	0.791112301506	0.759400682377	0.791172842628	0.736757427493	0.822275619021	0.9382084698	0.807754701955	0.847879316986	0.798002559611	0.825715281149	0.842222140535	0.928038289009	0.828575103706
MMS714	0.812317839696	0.764730199124	0.722263070782	0.713691382266	0.936671509728	0.721858420762	0.830819577445	0.73299317215	0.77330685821	0.0	0.70164101613	0.797746445777	0.750841334797	0.790930710593	0.755124289692	0.864183265291	0.781800568328	0.787981356318	0.855668725411	0.8221039893	0.75164298825	0.886937806721	0.786275312465	0.781702153732	0.829734884693	0.831883051032	0.772896019086	0.777417702418	0.78563749663	0.684572816378	0.814157780349	0.786297232607	0.786253183563	0.979688659709	0.938931354476	0.889310235369	0.770429595556	0.859071709972	0.803104131695	0.662356867121	0.859135960421	0.854071753046	0.833274578143	0.848936162631	0.859511749906	0.661813838395	0.668703806077	0.739050820021	0.796008928805	0.689058166547	0.830246501398	0.775982804553	0.765856098363	0.917160369709	0.751103047921	0.836752026735	0.714227718363	0.766649013562	0.778298272155	0.850982468515	0.760702637835
