	MMS930	MMS925	MMS911	MMS920	MM933M	MMS922	MMS910	MMS923	MMS715	MMS714	MMS717	MMS716	MMS711	MMS710	MMS713	MMS712	MMS944	MMS921	MMS942	MMS943	MMS908	MMS909	MMS928	MMS929	MMS900	MMS901	MMS902	MMS903	MMS904	MMS905	MMS906	MMS907	MMS919	MM943M	MM941M	MM936M	MMS706	MMS707	MMS704	MMS705	MMS702	MMS703	MMS700	MMS701	MMS708	MMS709	MMS917	MMS939	MMS938	MMS916	MMS931	MMS915	MMS932	MMS918	MMS914	MM9362CU	MMS913	MMS890	MMS891	MMS924	MMS912
MMS930	0.0	0.732935318793	0.744698465462	0.696864885456	0.889250005348	0.66385906301	0.744850696726	0.729186595427	0.765677894838	0.746024740997	0.629383999585	0.676191826207	0.703353816408	0.727707132436	0.731002559299	0.777625657588	0.5947262379	0.732178316904	0.66983286306	0.747981196639	0.612462678563	0.689932789188	0.642414913418	0.544137170399	0.725826154343	0.743598420094	0.679145147893	0.631266127599	0.639423077945	0.639586550105	0.67551120071	0.626437089202	0.665119515064	0.934037874631	0.90761010769	0.832033551346	0.669368482183	0.748877903335	0.709972347645	0.714576197124	0.746693350289	0.771214415804	0.726613855289	0.745229204411	0.782556715144	0.666515347075	0.981406892004	0.624040295709	0.617523533441	0.617061043982	0.597519584291	0.690473971792	0.60821728478	0.999589932211	0.688896650084	0.630568190914	0.614455238274	0.520651005903	0.63081078706	0.788427246657	0.649910632107
MMS925	0.732935318793	0.0	0.764643512607	0.651640386743	0.81936962126	0.607635923297	0.792186110986	0.643604897454	0.813099005051	0.713163239386	0.610248137729	0.674965715761	0.578812536983	0.697180333296	0.606712189251	0.829187376862	0.730789692104	0.609829453602	0.735601076596	0.769668449121	0.658630224172	0.746554808323	0.622560577773	0.624602671309	0.672679989993	0.738217954807	0.745198486717	0.627975715971	0.658857647591	0.615894712497	0.679637772958	0.607628532107	0.63557442586	0.920734754122	0.886167225334	0.857954594348	0.683684295596	0.793146924606	0.676658026728	0.745726379681	0.65709596075	0.83105838803	0.680552887873	0.583077612109	0.744514813137	0.642372265214	0.906570308999	0.681039097841	0.731328992403	0.660695557796	0.728054974548	0.734914401585	0.715532851221	0.853003310801	0.719232527166	0.690369443698	0.628575949253	0.657206553308	0.674415223497	0.621393719352	0.619471207142
MMS911	0.744698465462	0.764643512607	0.0	0.752702568101	0.92127414428	0.739732197244	0.630524254619	0.72069062279	0.669849762747	0.674633709926	0.691396663733	0.686997376964	0.757175333738	0.781473458483	0.735907167814	0.598727824506	0.737238499159	0.748976947773	0.788181209747	0.658363757877	0.731420005876	0.626128965944	0.746941609825	0.747603259506	0.770880774028	0.719236771559	0.630030200387	0.672509541306	0.683839501698	0.613019709635	0.77914908043	0.732159879246	0.672430667262	0.969591086779	0.879914481423	0.877350375781	0.710968057687	0.708502207173	0.785461235375	0.733226269757	0.795144349621	0.626104524635	0.773026982489	0.829713475389	0.88440926702	0.714104122122	0.828301042199	0.736066921456	0.689847742587	0.684466261769	0.727877261274	0.706232237082	0.763118339099	0.878338336512	0.73237687537	0.749175689439	0.663131598389	0.721461610727	0.716216465034	0.852174322041	0.713635129753
MMS920	0.696864885456	0.651640386743	0.752702568101	0.0	0.876090069299	0.637536056262	0.818576371191	0.603567368445	0.767369011963	0.677528279462	0.65344128285	0.638714305379	0.645674937035	0.672383889636	0.660877775898	0.832783826375	0.637132422498	0.551914672216	0.773339713391	0.757251617796	0.658776032939	0.783676074706	0.700799066301	0.700669780091	0.756337065859	0.7804288552	0.730336899364	0.676615850473	0.702557775427	0.658827735324	0.681816213444	0.671541029482	0.665029088031	0.869975665723	0.850654801675	0.847098516206	0.720609668443	0.810074791586	0.761744712507	0.714008701716	0.682976557057	0.82646222112	0.693087509645	0.712057293746	0.805505660381	0.620786164835	0.875540509861	0.644083042882	0.74384869623	0.642027741344	0.718701548306	0.732804296981	0.727902519985	0.894476041782	0.718157491255	0.74272074479	0.615420151087	0.690430953075	0.673443706369	0.697594509136	0.660524747875
MM933M	0.889250005348	0.81936962126	0.92127414428	0.876090069299	0.0	0.822939655743	0.915429318414	0.844175493506	0.92290802471	0.867316552125	0.886788711814	0.859835762289	0.854635538606	0.832233864164	0.857046313509	0.92071529679	0.872796299447	0.837522482834	0.870885149777	0.89202533975	0.872365264276	0.923752709774	0.868787870786	0.851354271044	0.844083131711	0.925905762393	0.922601888334	0.848955741783	0.847801802243	0.822379588892	0.878311194389	0.819248164838	0.830892412867	0.846202468327	0.879757901205	0.810296409207	0.857486744909	0.924993861912	0.853636999941	0.889683833584	0.836711217927	0.944685422449	0.885803859034	0.805051931549	0.873816034589	0.867163412631	1.02973538295	0.891859156511	0.887384919715	0.857410296761	0.816514945227	0.858586130099	0.855695394558	0.934486472917	0.884724804721	0.804739373636	0.848423024225	0.83445018959	0.845188559664	0.917275898241	0.830372385698
MMS922	0.66385906301	0.607635923297	0.739732197244	0.637536056262	0.822939655743	0.0	0.813069696071	0.578971088484	0.74223786718	0.66040729093	0.623903573367	0.679232779618	0.636932039945	0.602186646212	0.631344769559	0.824726856692	0.689057147257	0.565821741906	0.744519858319	0.740345611488	0.640259691947	0.75427835271	0.687761386714	0.648320827169	0.718874995884	0.741448629756	0.741847308263	0.654025320456	0.658689687435	0.616590320172	0.664243543056	0.622927284988	0.627767007465	0.892269590717	0.888759577455	0.84933615301	0.675754916348	0.78424125454	0.695193414088	0.74214779048	0.651340004213	0.809229577556	0.652850905213	0.633227041765	0.776777326712	0.573252939997	0.870158347875	0.686612007444	0.749360981367	0.625071832962	0.688330313973	0.722640901507	0.688448393962	0.852842182949	0.655808829338	0.676358876699	0.599769032828	0.66193364092	0.66821368438	0.663636852922	0.612901995408
MMS910	0.744850696726	0.792186110986	0.630524254619	0.818576371191	0.915429318414	0.813069696071	0.0	0.761917711476	0.720924415234	0.770543985589	0.739371725283	0.682527843483	0.813113644575	0.824813671404	0.803910932773	0.589244999144	0.760272769778	0.80233472818	0.756024621135	0.671955351383	0.765382996225	0.595238139612	0.773646395429	0.713967004927	0.808337804293	0.768910783182	0.632660232249	0.667384316563	0.73073476891	0.656729605336	0.764378142923	0.760134661663	0.73847535263	0.979381176726	0.907072104674	0.867722403463	0.695595655487	0.72772938974	0.789143156398	0.761503490533	0.840275046043	0.597154832746	0.849498422321	0.869969073358	0.907682584866	0.773414033643	0.902291920295	0.768102874857	0.661311771946	0.739355679695	0.733746264854	0.720949054188	0.771691951893	0.937948487018	0.760384802502	0.779499237566	0.715144373776	0.73174080062	0.753640433538	0.887200133452	0.76585419447
MMS923	0.729186595427	0.643604897454	0.72069062279	0.603567368445	0.844175493506	0.578971088484	0.761917711476	0.0	0.718706709833	0.686545356867	0.654118707283	0.627561484337	0.631937224484	0.652691885358	0.6647478379	0.820089660817	0.662183316628	0.568573989162	0.726049820058	0.763642216535	0.670059257647	0.760748454677	0.697422350301	0.665870175932	0.647571581291	0.716108486568	0.708324159494	0.660784175765	0.667113833211	0.651082914014	0.650076163513	0.625620426366	0.60354603871	0.888110469852	0.872005222249	0.835204370604	0.692987981428	0.767213498035	0.752450136077	0.725953008716	0.640852425025	0.806154009039	0.642263279229	0.681310380445	0.745231125486	0.611665764774	0.857660204243	0.692795019898	0.747589670798	0.632719195554	0.715184641928	0.731586141421	0.704695491827	0.819799080752	0.744032230732	0.727905341748	0.639822657519	0.664511769137	0.691937255807	0.674176998542	0.687528094871
MMS715	0.765677894838	0.813099005051	0.669849762747	0.767369011963	0.92290802471	0.74223786718	0.720924415234	0.718706709833	0.0	0.716250601488	0.757490396374	0.64035604812	0.780159117453	0.734126048301	0.726359881057	0.734327640894	0.756871826337	0.73305005094	0.797991059828	0.77924435157	0.752001002808	0.717402162185	0.783576911907	0.763361576501	0.773499739541	0.655314276456	0.555786306232	0.677382313503	0.702383692246	0.619898224736	0.788015571207	0.729689544501	0.740525919805	0.935908352273	0.9186157835	0.881786962962	0.713673458738	0.641207919857	0.780844553216	0.72987542986	0.823992887643	0.784378507687	0.826606498047	0.847691575235	0.880029527153	0.753439782918	0.808604572505	0.798436588449	0.73729648913	0.713922702321	0.727034911491	0.682614170659	0.764025621276	0.905331735153	0.738031824943	0.778197780625	0.713474197222	0.750694432902	0.765564037511	0.868809859972	0.761190842566
MMS714	0.746024740997	0.713163239386	0.674633709926	0.677528279462	0.867316552125	0.66040729093	0.770543985589	0.686545356867	0.716250601488	0.0	0.652992576635	0.709805858746	0.694140882001	0.726296384832	0.660977946118	0.773848197242	0.733963118218	0.705413771137	0.792632586875	0.751986367786	0.711594859932	0.79509037344	0.719831856168	0.710509704016	0.775000477822	0.768179086418	0.695393569214	0.69133588882	0.73447414874	0.616707538866	0.724657880239	0.701961976593	0.713998351839	0.905840900459	0.880549556104	0.837209561425	0.706970790351	0.763495157639	0.748604371856	0.660283099036	0.77417575195	0.80824129058	0.757841525179	0.767007036136	0.812157465124	0.602096585656	0.749797604996	0.692760869367	0.751324460575	0.640177343674	0.753545495139	0.71924422554	0.710243277047	0.876015494724	0.68054459638	0.727120973095	0.648775838264	0.686926173651	0.701538120767	0.784724793148	0.674092692678
