	MMS930	MMS925	MMS911	MMS920	MM933M	MMS922	MMS910	MMS923	MMS715	MMS714	MMS717	MMS716	MMS711	MMS710	MMS713	MMS712	MMS944	MMS921	MMS942	MMS943	MMS908	MMS909	MMS928	MMS929	MMS900	MMS901	MMS902	MMS903	MMS904	MMS905	MMS906	MMS907	MMS919	MM943M	MM941M	MM936M	MMS706	MMS707	MMS704	MMS705	MMS702	MMS703	MMS700	MMS701	MMS708	MMS709	MMS917	MMS939	MMS938	MMS916	MMS931	MMS915	MMS932	MMS918	MMS914	MM9362CU	MMS913	MMS890	MMS891	MMS924	MMS912
MMS930	0.0	0.380418228223	0.403367787697	0.355498277034	0.51880134366	0.329159225127	0.387760365354	0.360003134276	0.432845337342	0.405140468392	0.29570108329	0.33206107893	0.367971154489	0.373545252949	0.380657482741	0.416288665494	0.252941985091	0.384676199498	0.312736447738	0.408212770131	0.281898336247	0.34640028986	0.308307200005	0.235248819112	0.386937878516	0.397877012562	0.340649573184	0.297903390387	0.29291962743	0.317462305466	0.320287534924	0.30474069298	0.328216949905	0.549658969793	0.54308519358	0.487792579781	0.33468395998	0.411612367184	0.378225599894	0.386002575128	0.3887076659	0.417509480342	0.373358803668	0.392618438065	0.428788608113	0.339368082506	0.595792986365	0.289048534798	0.297312981175	0.302790485098	0.273068513622	0.368321497942	0.267972135543	0.623809312523	0.361738252273	0.297059174316	0.280721141041	0.232910532451	0.29344392143	0.418162650133	0.315525953127
MMS925	0.380418228223	0.0	0.391457367864	0.309889516743	0.46418507288	0.27543289685	0.425189238619	0.291391661572	0.447305889073	0.36481157479	0.287839594117	0.327726473708	0.26702634268	0.342028672478	0.304191825638	0.450089112322	0.357865444776	0.290610483526	0.365129673807	0.400933170469	0.33170914923	0.392363937396	0.297201613842	0.302332585059	0.329568827567	0.384194299953	0.39101990198	0.325773035178	0.316355221327	0.299700869806	0.332414442585	0.281857283282	0.299607865662	0.536941675272	0.528767695009	0.495928634064	0.345821223769	0.415199081277	0.324384211145	0.357025132132	0.311643367996	0.446657999127	0.341897101745	0.281274061087	0.358599140924	0.317067377661	0.528087996007	0.333632443254	0.362080705925	0.302944962646	0.361781730811	0.385479622498	0.358689872052	0.489240067719	0.358681132866	0.354090881289	0.312944848222	0.325049349345	0.333777319834	0.280778770699	0.281763352905
MMS911	0.403367787697	0.391457367864	0.0	0.386108290167	0.535104293971	0.402413264094	0.282778957095	0.381848573869	0.33118294854	0.33680925648	0.361356137725	0.338293129467	0.398873580588	0.417757728656	0.396311610328	0.275891284361	0.394348886236	0.398052754262	0.411241990019	0.326922906393	0.403472299028	0.297311598809	0.40273025623	0.401914477944	0.401934375433	0.357894431222	0.31008969297	0.347581057344	0.348451249109	0.307692580589	0.422320149466	0.382042019314	0.342990271316	0.581378072769	0.529113556966	0.51760907292	0.368540085275	0.346092232178	0.403279597862	0.357479911295	0.431443507029	0.29268928635	0.411500515344	0.452816787333	0.474442292917	0.383126550848	0.454727102137	0.388263999589	0.339089882509	0.336998668136	0.387857900552	0.362419432677	0.394824143659	0.519120467245	0.365797557261	0.418852193288	0.351649372296	0.389065022429	0.378067673194	0.466937626632	0.377966237269
MMS920	0.355498277034	0.309889516743	0.386108290167	0.0	0.498711325112	0.304726914497	0.427901804946	0.267740273658	0.413608507914	0.340350693756	0.308896228346	0.302792821216	0.301015018283	0.320891690541	0.317402677834	0.439295528038	0.303874614996	0.254015698397	0.385339757336	0.397632081508	0.325332104353	0.40147227207	0.338107215872	0.35097679764	0.400355596028	0.406747007063	0.369901278357	0.34687968693	0.364608932352	0.315396671617	0.333900126919	0.318332041962	0.323943809637	0.496752195267	0.489623289969	0.500010483558	0.372335434335	0.428798004532	0.381140958872	0.346139167824	0.326982054114	0.441415942029	0.353544696801	0.361254131778	0.408835504875	0.297777236022	0.500827363636	0.307913665823	0.365816053987	0.288184651402	0.36825298985	0.373782191477	0.364814935989	0.518015179498	0.346974460725	0.393805634363	0.301402366727	0.338329023698	0.327514006933	0.34554431613	0.323819985571
MM933M	0.51880134366	0.46418507288	0.535104293971	0.498711325112	0.0	0.47499559941	0.539533603341	0.494424837867	0.536133148968	0.49836034828	0.504672690663	0.50038508199	0.47962807927	0.468943541609	0.489806670258	0.544649744179	0.490043579097	0.482515480798	0.483872729902	0.514237966254	0.490709537108	0.543242536755	0.487404984363	0.4933623111	0.474045447825	0.540139557883	0.530546506274	0.49270388307	0.481451714794	0.473035720123	0.498839833544	0.45726995282	0.468802603778	0.449954720825	0.471529862571	0.436875812991	0.507017247483	0.539123685932	0.468624447435	0.505114368759	0.46705415633	0.558806073366	0.510798734918	0.451779232817	0.487085647625	0.499060985541	0.635588697519	0.501250189785	0.506476910558	0.481415280654	0.453549479834	0.484610797323	0.481242359621	0.561204517543	0.507126313745	0.453842612949	0.474926974269	0.478185607366	0.482300017023	0.536082971603	0.463833358666
MMS922	0.329159225127	0.27543289685	0.402413264094	0.304726914497	0.47499559941	0.0	0.447473966205	0.260391496632	0.415178121131	0.35124615089	0.294378804713	0.342835502908	0.300200119629	0.283141139757	0.33489546467	0.449865808216	0.329879236357	0.271827104772	0.368461827276	0.394657289367	0.313820264532	0.398184012087	0.322634211497	0.303040196697	0.369624591609	0.395631938388	0.379901893002	0.336813907543	0.323912693065	0.305192119243	0.30715165367	0.285750332787	0.286851170057	0.524104835183	0.520919198077	0.503020073175	0.328614976636	0.429051380433	0.347503999164	0.376887268623	0.31795151288	0.439032729033	0.313710896582	0.303733224485	0.390258202572	0.275721367642	0.514096259839	0.335757767173	0.365543767962	0.295864484435	0.340197330072	0.390435314074	0.331803637658	0.489839645752	0.331323873661	0.342501937548	0.289888833364	0.31284282373	0.323354198537	0.322130308544	0.285344712081
MMS910	0.387760365354	0.425189238619	0.282778957095	0.427901804946	0.539533603341	0.447473966205	0.0	0.408642057812	0.37798709241	0.406095300424	0.3920297307	0.351860392523	0.440466448962	0.451514339274	0.448579484173	0.248574071766	0.409920297716	0.437739118407	0.390043598219	0.353724810525	0.428274377503	0.257987106437	0.421926207161	0.387792915415	0.439349734819	0.394168241823	0.309118770373	0.345987959844	0.387719592862	0.354916845412	0.424178486388	0.407979932742	0.394684803797	0.590082199954	0.543900742991	0.506225380139	0.365815871015	0.370927480721	0.416093081992	0.377094286341	0.463766214826	0.24883450259	0.465059002807	0.489566048211	0.503965367012	0.429146890065	0.524639696437	0.407048779626	0.321666130364	0.381406224834	0.387338452359	0.356514684758	0.400632604579	0.579590184179	0.401139334381	0.426996924763	0.391831743326	0.399495370791	0.393928664008	0.493030253941	0.423709972982
MMS923	0.360003134276	0.291391661572	0.381848573869	0.267740273658	0.494424837867	0.260391496632	0.408642057812	0.0	0.388076383442	0.354313288603	0.298493304081	0.303356542661	0.288161850129	0.297832007913	0.327635775751	0.439701570863	0.312146711738	0.267587629859	0.358941261585	0.401490082777	0.324301330005	0.398366889904	0.329736308126	0.319983431241	0.323540986079	0.368081458621	0.358118695022	0.338008224586	0.325146208083	0.3176353082	0.3031277346	0.282342868636	0.268243356428	0.50640989899	0.500175887424	0.475153828727	0.341815104139	0.404976881069	0.381335183002	0.357491767052	0.301445406999	0.437937016129	0.305443779443	0.34054799491	0.356081604851	0.299246376267	0.479413684544	0.339653322315	0.363332395678	0.292393769125	0.350808874106	0.384587894829	0.343293262708	0.460036579455	0.366344985583	0.377981880911	0.309025360846	0.314371648462	0.335140282933	0.332158284847	0.32208298939
MMS715	0.432845337342	0.447305889073	0.33118294854	0.413608507914	0.536133148968	0.415178121131	0.37798709241	0.388076383442	0.0	0.373957261769	0.405025288009	0.334134800727	0.428852757028	0.393982940476	0.417213827222	0.379273782313	0.420848715013	0.389506362588	0.429925467807	0.414563856753	0.431251151211	0.374831860999	0.433017976038	0.433129628486	0.410481707079	0.322557544631	0.280621741684	0.369368791339	0.378669038839	0.320003921337	0.446986750085	0.406831912067	0.39858991749	0.557204786311	0.555950879338	0.525311290878	0.378003186333	0.314547739608	0.404652600264	0.371300273519	0.465224012387	0.403852768166	0.458107099169	0.484922700095	0.487716777069	0.429668523892	0.435406697656	0.444237057015	0.373253465405	0.372985298953	0.391259745749	0.34059297347	0.420190705348	0.522000148598	0.39533209927	0.446953115895	0.402751600233	0.420096948875	0.418624770777	0.488560148696	0.424026642801
MMS714	0.405140468392	0.36481157479	0.33680925648	0.340350693756	0.49836034828	0.35124615089	0.406095300424	0.354313288603	0.373957261769	0.0	0.322997856485	0.371009601006	0.364811431805	0.372577782321	0.332771410559	0.413312507571	0.378044937185	0.359472299473	0.427181724598	0.39405057396	0.358943895804	0.422896045872	0.384027997568	0.38528740524	0.399409112018	0.394275723119	0.365353799171	0.371443638785	0.385292533919	0.30389306074	0.394733994194	0.360494019333	0.368942349247	0.522286409149	0.513168570404	0.480560368101	0.369696465135	0.400737442806	0.374605902841	0.306750285037	0.418286448314	0.422271417283	0.40990731013	0.422388140945	0.422021577667	0.311333136665	0.363477423203	0.351671938142	0.382285839123	0.310077992325	0.407717702644	0.374086949973	0.369233872958	0.514106531273	0.345142488303	0.417760000194	0.334872850155	0.360952797247	0.358701461719	0.421552523677	0.355254398135
